event_id,titel,beschreibung,datum_start,datum_ende,zeitzone,ort_name,ort_adresse,ort_lat,ort_lon,kategorie,teilnehmer,veranstalter,kontakt_email,url,status,wiederholung
1,Öffentliche Haushaltssitzung,Öffentliche Beratung zum Haushaltsentwurf und zu den Investitionsschwerpunkten des kommenden Jahres.,2026-07-31T09:00:00,2026-07-31T12:00:00,Europe/Berlin,Rathausforum,Beispielplatz 1 73728 Esslingen,48.7428,9.3072,Politik,Bürgerinnen;Stadtrat;Verwaltung,Forum Musterstadt,haushalt@example.org,https://events.example.org/haushalt,geplant,
2,Sommerkonzert am Fluss,Ein kleines Open-Air-Konzert mit lokalen Ensembles und freiem Eintritt.,2026-07-31T18:00:00,2026-07-31T22:00:00,Europe/Berlin,Neckarbühne,Flussufer 7 73730 Esslingen,48.7354,9.3041,Kultur,Musikgruppen;Familien;Gäste,Kulturwerk Beispielstadt,konzert@example.org,https://events.example.org/sommerkonzert,geplant,
3,Offene Sportnacht,Turniere und freie Bewegungsangebote für Jugendliche und Erwachsene in der Sporthalle.,2026-08-01T16:00:00,2026-08-01T21:00:00,Europe/Berlin,Sporthalle West,Beispielstraße 12 73734 Esslingen,48.7284,9.3241,Sport,Teams;Trainerinnen;Zuschauer,Bewegungshaus Beispielstadt,sport@example.org,https://events.example.org/sportnacht,geplant,
4,Stadtführung für Einsteiger,Ein Rundgang durch die Altstadt mit kurzen Erklärungen zu Geschichte und Gegenwart.,2026-08-02T11:00:00,2026-08-02T13:00:00,Europe/Berlin,Treffpunkt Marktplatz,Marktplatz 2 73728 Esslingen,48.7395,9.3068,Kultur,Gästeführer;Besucherinnen,Stadtgeschichte Beispielstadt,fuehrung@example.org,https://events.example.org/stadtfuehrung,geplant,
5,Workshop Digitale Medien,Praktischer Kurs zu Datenschutz und sicherem Umgang mit digitalen Angeboten.,2026-08-03T17:00:00,2026-08-03T20:00:00,Europe/Berlin,Werkstatt Digital,Beispielallee 9 73730 Esslingen,48.7351,9.2934,Bildung,Einsteigerinnen;Kursleitung;Eltern,Lernwerk Musterstadt,medien@example.org,https://events.example.org/medien,geplant,
6,Nachbarschaftscafé,Offener Nachmittag mit Kaffee und Gelegenheit zum Kennenlernen im Quartier.,2026-08-04T15:00:00,2026-08-04T18:00:00,Europe/Berlin,Quartierstreff Süd,Beispielweg 4 73733 Esslingen,48.7302,9.2889,Soziales,Nachbarschaft;Ehrenamtliche;Gäste,Miteinander Beispielstadt,cafe@example.org,https://events.example.org/cafe,geplant,
7,Reparaturtreff,Alltägliche Geräte gemeinsam prüfen und kleine Reparaturen unter Anleitung ausprobieren.,2026-08-05T18:00:00,2026-08-05T21:00:00,Europe/Berlin,Offene Werkstatt,Industrieweg 11 73734 Esslingen,48.7269,9.3296,Sonstiges,Reparaturteam;Besucherinnen,Reparaturwerk Musterstadt,reparatur@example.org,https://events.example.org/reparatur,geplant,
8,Lesung im Innenhof,Eine öffentliche Lesung mit anschließendem Gespräch mit der Autorin.,2026-08-06T19:00:00,2026-08-06T21:00:00,Europe/Berlin,Literaturhof,Beispielgasse 5 73728 Esslingen,48.7462,9.3011,Kultur,Autorin;Lesekreis;Publikum,Leseforum Beispielstadt,lesung@example.org,https://events.example.org/lesung,geplant,
9,Schach im Park,Offener Schachnachmittag mit Brettern vor Ort und Angeboten für alle Spielstärken.,2026-08-08T14:00:00,2026-08-08T18:00:00,Europe/Berlin,Stadtpark Pavillon,Parkweg 3 73728 Esslingen,48.7408,9.3182,Soziales,Spielende;Familien;Ehrenamtliche,Spielraum Musterstadt,schach@example.org,https://events.example.org/schach,geplant,FREQ=WEEKLY;BYDAY=SA;COUNT=8
10,Sommermarkt der Vereine,Informationsstände und Mitmachangebote örtlicher Vereine auf dem zentralen Platz.,2026-08-10T10:00:00,2026-08-10T16:00:00,Europe/Berlin,Marktplatz,Marktplatz 1 73728 Esslingen,48.7396,9.3097,Soziales,Vereine;Familien;Besucherinnen,Vereinsring Beispielstadt,markt@example.org,https://events.example.org/vereinsmarkt,geplant,
